air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.4,0.1835748792270531,SOFT,GAS,0,,,,,23.0,98.429,,,2019_BHR,,10330.386473429951,2019,31.009,43.411,24.009,,,,196.8309178743961,2.0,Red Bull Racing,63.98550724637681,,28.9,14.0,59.0,2.1
26.5,0.178743961352657,SOFT,GAS,0,,,,,24.0,97.965,,,2019_BHR,,10295.550724637682,2019,30.935,43.139,23.891,,,,197.6328502415459,2.0,Red Bull Racing,65.1256038647343,,28.9,15.0,12.0,1.9
26.5,0.1714975845410628,SOFT,GAS,0,,,,,25.0,98.019,,,2019_BHR,,10212.135265700485,2019,30.973,42.991,24.055,,,,197.6304347826087,2.0,Red Bull Racing,64.96376811594203,,28.9,16.0,37.0,2.2
26.5,0.1771844660194174,SOFT,GAS,0,,,,,26.0,97.96,,,2019_BHR,,10259.866504854368,2019,30.929,43.133,23.898,,,,197.14077669902912,2.0,Red Bull Racing,64.34466019417475,,28.8,17.0,39.0,2.1
26.5,0.1840193704600484,SOFT,GAS,0,,,,,27.0,98.06,,,2019_BHR,,10203.167070217918,2019,30.964,43.19,23.906,,,,197.31719128329297,2.0,Red Bull Racing,64.97820823244552,,28.8,18.0,30.0,2.4
26.5,0.1879518072289156,SOFT,GAS,0,,,,,28.0,98.752,,,2019_BHR,,10289.561445783133,2019,31.18,43.521,24.051,,,,196.2578313253012,2.0,Red Bull Racing,64.25783132530121,,28.8,19.0,40.0,3.2
26.6,0.1951807228915662,SOFT,GAS,0,,,,,29.0,98.197,,,2019_BHR,,10299.501204819277,2019,30.983,43.148,24.066,,,,197.08192771084336,2.0,Red Bull Racing,65.15421686746988,,28.8,20.0,27.0,3.0
26.6,0.1888619854721549,SOFT,GAS,0,,,,,30.0,98.402,,,2019_BHR,,10251.13559322034,2019,30.879,43.622,23.901,,,,196.39467312348668,2.0,Red Bull Racing,64.05811138014528,,28.7,21.0,22.0,2.9
26.6,0.1899038461538461,SOFT,GAS,0,,,,,31.0,98.689,,,2019_BHR,,10223.704326923076,2019,30.913,43.767,24.009,,,,196.10096153846155,2.0,Red Bull Racing,63.94711538461539,,28.6,22.0,50.0,2.5
26.6,0.180722891566265,SOFT,GAS,0,,,,,32.0,98.353,,,2019_BHR,,10240.47469879518,2019,30.858,43.477,24.018,,,,196.90843373493976,2.0,Red Bull Racing,63.97831325301205,,28.5,23.0,36.0,3.1
26.6,0.1908212560386473,SOFT,GAS,0,,,,,33.0,98.807,,,2019_BHR,,10183.608695652174,2019,31.065,43.564,24.178,,,,195.42512077294683,2.0,Red Bull Racing,63.8792270531401,,28.4,24.0,19.0,2.6
26.6,0.174757281553398,SOFT,GAS,0,,,,,34.0,98.406,,,2019_BHR,,10217.291262135925,2019,30.961,43.45,23.995,,,,196.4684466019417,2.0,Red Bull Racing,64.10922330097087,,28.4,25.0,54.0,2.6
26.5,0.1899038461538461,SOFT,GAS,0,,,,,35.0,98.849,,,2019_BHR,,10274.58653846154,2019,31.101,43.696,24.052,,,,195.71875,2.0,Red Bull Racing,63.83173076923077,,28.3,26.0,50.0,2.3
26.5,0.1899038461538461,SOFT,GAS,0,,,,,36.0,98.676,,,2019_BHR,,10210.79326923077,2019,31.172,43.384,24.12,,,,195.85096153846155,2.0,Red Bull Racing,63.49278846153846,,28.3,27.0,43.0,3.1
