season,race_id,driver,team,lap_number,lap_time,sector_1_time,sector_2_time,sector_3_time,stint,compound,tyre_life,track_temp,air_temp,wind_speed,wind_dir,speed_mean,throttle_mean,brake_mean,rpm_mean,drs_activations
2019,2019_BHR,GAS,Red Bull Racing,26.0,97.96,30.929,43.133,23.898,2.0,SOFT,17.0,28.8,26.5,2.1,39,197.14077669902912,64.34466019417475,0.17718446601941748,10259.866504854368,0
2019,2019_BHR,GAS,Red Bull Racing,27.0,98.06,30.964,43.19,23.906,2.0,SOFT,18.0,28.8,26.5,2.4,30,197.31719128329297,64.97820823244552,0.18401937046004843,10203.167070217918,0
2019,2019_BHR,GAS,Red Bull Racing,28.0,98.752,31.18,43.521,24.051,2.0,SOFT,19.0,28.8,26.5,3.2,40,196.2578313253012,64.25783132530121,0.18795180722891566,10289.561445783133,0
2019,2019_BHR,GAS,Red Bull Racing,29.0,98.197,30.983,43.148,24.066,2.0,SOFT,20.0,28.8,26.6,3.0,27,197.08192771084336,65.15421686746988,0.19518072289156627,10299.501204819277,0
2019,2019_BHR,GAS,Red Bull Racing,30.0,98.402,30.879,43.622,23.901,2.0,SOFT,21.0,28.7,26.6,2.9,22,196.39467312348668,64.05811138014528,0.18886198547215496,10251.135593220339,0
2019,2019_BHR,GAS,Red Bull Racing,31.0,98.689,30.913,43.767,24.009,2.0,SOFT,22.0,28.6,26.6,2.5,50,196.10096153846155,63.94711538461539,0.18990384615384615,10223.704326923076,0
2019,2019_BHR,GAS,Red Bull Racing,32.0,98.353,30.858,43.477,24.018,2.0,SOFT,23.0,28.5,26.6,3.1,36,196.90843373493976,63.97831325301205,0.18072289156626506,10240.47469879518,0
2019,2019_BHR,GAS,Red Bull Racing,33.0,98.807,31.065,43.564,24.178,2.0,SOFT,24.0,28.4,26.6,2.6,19,195.42512077294685,63.8792270531401,0.19082125603864733,10183.608695652174,0
2019,2019_BHR,GAS,Red Bull Racing,34.0,98.406,30.961,43.45,23.995,2.0,SOFT,25.0,28.4,26.6,2.6,54,196.46844660194174,64.10922330097087,0.17475728155339806,10217.291262135923,0
2019,2019_BHR,GAS,Red Bull Racing,35.0,98.849,31.101,43.696,24.052,2.0,SOFT,26.0,28.3,26.5,2.3,50,195.71875,63.83173076923077,0.18990384615384615,10274.586538461539,0
