season,gp_name,session_name,session_type,driver,team,lap_number,lap_time,sector_1_time,sector_2_time,sector_3_time,position,track_status,is_pit_lap,compound,stint,tyre_life,fresh_tyre,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,rpm_max,drs_activations,air_temp,track_temp,humidity,wind_speed,wind_dir,pressure
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,22.0,96.958,30.801,42.235,23.922,3.0,1,False,HARD,2.0,21.0,True,199.54636591478697,305.0,66.26817042606517,0.19298245614035087,10579.388471177945,12512.0,0,25.0,26.7,70.2,0.7,0.0,1016.2
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,23.0,98.085,31.484,42.502,24.099,4.0,1,False,HARD,2.0,22.0,True,196.9827160493827,304.0,63.46666666666667,0.1925925925925926,10502.772839506173,12416.0,36,25.0,26.8,70.0,0.8,179.0,1016.2
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,24.0,98.006,31.581,42.408,24.017,5.0,1,False,HARD,2.0,23.0,True,196.98019801980197,306.0,64.25742574257426,0.2004950495049505,10509.70792079208,12364.0,36,24.9,26.7,70.3,1.0,202.0,1016.2
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,25.0,99.369,30.826999999999998,42.114,26.428,5.0,1,True,HARD,2.0,24.0,True,194.03406326034064,308.0,64.47201946472019,0.19708029197080293,10466.20194647202,12489.0,0,24.9,26.6,71.0,0.9,0.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,26.0,115.499,51.024,41.102,23.373,9.0,1,True,HARD,3.0,1.0,True,167.3695198329854,294.0,66.61377870563675,0.21085594989561587,10058.181628392484,12366.0,0,24.9,26.5,71.4,0.0,219.0,1016.2
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,27.0,95.368,30.468,41.417,23.483,9.0,1,False,HARD,3.0,2.0,True,202.72979797979798,306.0,65.68686868686869,0.17929292929292928,10581.727272727272,12473.0,0,24.9,26.5,72.9,0.6,188.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,28.0,95.325,30.28,41.663,23.382,9.0,1,False,HARD,3.0,3.0,True,202.8295165394402,306.0,66.23664122137404,0.178117048346056,10550.488549618321,12583.0,0,24.7,26.4,74.0,0.7,284.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,29.0,95.144,30.394,41.438,23.312,9.0,1,False,HARD,3.0,4.0,True,203.26717557251908,306.0,65.99745547073792,0.19083969465648856,10585.923664122138,12419.0,0,24.7,26.4,74.3,0.7,237.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,30.0,95.046,30.417,41.251,23.378,9.0,1,False,HARD,3.0,5.0,True,203.46192893401016,306.0,65.01269035532995,0.18274111675126903,10577.385786802031,12620.0,0,24.6,26.4,74.3,0.6,200.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,31.0,95.139,30.288,41.427,23.424,9.0,1,False,HARD,3.0,6.0,True,202.88040712468194,306.0,65.7557251908397,0.178117048346056,10600.923664122138,12275.0,0,24.6,26.5,74.1,1.0,202.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,32.0,95.164,30.354,41.437,23.373,9.0,1,False,HARD,3.0,7.0,True,202.99240506329113,306.0,65.45316455696202,0.189873417721519,10591.27594936709,12452.0,0,24.6,26.4,73.5,0.5,0.0,1016.3
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,33.0,95.4,30.396,41.436,23.568,9.0,1,False,HARD,3.0,8.0,True,202.38676844783714,308.0,65.19083969465649,0.18829516539440203,10597.625954198473,12469.0,0,24.5,26.4,72.8,0.4,183.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,34.0,95.495,30.473,41.471,23.551,8.0,1,False,HARD,3.0,9.0,True,202.50125944584383,309.0,66.75062972292191,0.19899244332493704,10564.53904282116,13143.0,27,24.5,26.5,72.5,0.5,197.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,35.0,95.112,30.114,41.467,23.531,8.0,1,False,HARD,3.0,10.0,True,203.17974683544304,323.0,64.80506329113923,0.18734177215189873,10632.951898734178,12504.0,24,24.6,26.3,71.6,0.5,244.0,1016.5
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,36.0,95.578,30.413,41.594,23.571,7.0,1,False,HARD,3.0,11.0,True,201.61012658227847,307.0,65.75443037974684,0.19240506329113924,10544.721518987342,12462.0,0,24.6,26.3,71.6,0.6,205.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,37.0,95.435,30.521,41.508,23.406,7.0,1,False,HARD,3.0,12.0,True,202.58438287153652,304.0,66.25188916876574,0.19143576826196473,10575.672544080604,12832.0,0,24.6,26.4,71.3,0.6,205.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,38.0,95.237,30.348,41.453,23.436,7.0,1,False,HARD,3.0,13.0,True,202.92875318066157,304.0,66.49363867684478,0.1806615776081425,10575.12213740458,12443.0,0,24.7,26.5,71.0,0.4,247.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,39.0,94.822,30.294,41.232,23.296,6.0,1,False,HARD,3.0,14.0,True,203.83163265306123,304.0,66.26020408163265,0.18622448979591838,10603.188775510203,12564.0,0,24.8,26.5,71.0,0.9,191.0,1016.5
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,40.0,94.867,30.383,41.158,23.326,5.0,1,False,HARD,3.0,15.0,True,203.4757033248082,304.0,66.30690537084399,0.18414322250639387,10588.606138107416,12774.0,0,24.7,26.5,71.1,0.6,204.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,41.0,95.261,30.429,41.423,23.409,5.0,1,False,HARD,3.0,16.0,True,202.77833753148616,304.0,66.59193954659949,0.18639798488664988,10621.093198992443,13183.0,0,24.8,26.5,71.2,0.5,252.0,1016.5
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,42.0,94.988,30.445,41.201,23.342,5.0,1,False,HARD,3.0,17.0,True,203.37659033078882,303.0,66.33587786259542,0.1806615776081425,10611.170483460559,12876.0,0,24.8,26.5,71.2,0.5,206.0,1016.6
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,43.0,94.974,30.466,41.171,23.337,5.0,1,False,HARD,3.0,18.0,True,203.46938775510205,304.0,66.80867346938776,0.18622448979591838,10601.94642857143,12589.0,0,24.9,26.6,71.4,0.8,250.0,1016.4
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,44.0,96.366,30.767,42.083,23.516,6.0,1,False,HARD,3.0,19.0,True,200.8345864661654,304.0,65.6842105263158,0.20551378446115287,10484.358395989975,12440.0,0,25.0,26.6,71.9,1.0,280.0,1016.5
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,45.0,95.317,30.502,41.295,23.52,6.0,1,False,HARD,3.0,20.0,True,202.70379746835442,307.0,66.38481012658228,0.17974683544303796,10612.891139240506,12416.0,0,24.9,26.4,72.3,0.6,242.0,1016.5
2020,Bahrain Grand Prix,Race,Race,GAS,AlphaTauri,46.0,95.066,30.433,41.252,23.381,6.0,1,False,HARD,3.0,21.0,True,203.45685279187816,307.0,66.3274111675127,0.18527918781725888,10599.119289340102,12340.0,0,24.8,26.3,72.6,0.9,296.0,1016.4
